admin1,month,protest_count,repression_events,protest_count_t1
Bengkulu,2022-03-01,2,0,3
Bengkulu,2022-04-01,3,0,1
Bengkulu,2022-05-01,1,0,2
Bengkulu,2022-06-01,2,0,4
Bengkulu,2022-07-01,4,0,1
Bengkulu,2022-08-01,1,0,6
Bengkulu,2022-09-01,6,1,2
Bengkulu,2022-10-01,2,0,1
Bengkulu,2022-11-01,1,0,5
Bengkulu,2022-12-01,5,0,1
Bengkulu,2023-01-01,1,0,0
Bengkulu,2023-02-01,0,0,0
Bengkulu,2023-03-01,0,0,0
Bengkulu,2023-04-01,0,0,6
Bengkulu,2023-05-01,6,0,1
Bengkulu,2023-06-01,1,0,0
Bengkulu,2023-07-01,0,0,1
Bengkulu,2023-08-01,1,0,2
Bengkulu,2023-09-01,2,0,4
Bengkulu,2023-10-01,4,0,1
Bengkulu,2023-11-01,1,0,1
Bengkulu,2023-12-01,1,0,0
Bengkulu,2024-01-01,0,0,0
Bengkulu,2024-02-01,0,0,0
Bengkulu,2024-03-01,0,0,2
Bengkulu,2024-04-01,2,0,4
Bengkulu,2024-05-01,4,0,1
Bengkulu,2024-06-01,1,0,0
Bengkulu,2024-07-01,0,0,4
Bengkulu,2024-08-01,4,1,1
Bengkulu,2024-09-01,1,0,0
Bengkulu,2024-10-01,0,0,4
Bengkulu,2024-11-01,4,0,2
Bengkulu,2024-12-01,2,0,4
Bengkulu,2025-01-01,4,0,NA
Central Java,2019-01-01,6,0,4
Central Java,2019-02-01,4,0,5
Central Java,2019-03-01,5,0,0
Central Java,2019-04-01,0,0,4
Central Java,2019-05-01,4,0,1
Central Java,2019-06-01,1,0,4
Central Java,2019-07-01,4,1,10
Central Java,2019-08-01,10,0,15
Central Java,2019-09-01,15,1,8
Central Java,2019-10-01,8,1,7
Central Java,2019-11-01,7,0,9
Central Java,2019-12-01,9,1,2
Central Java,2020-01-01,2,0,4
Central Java,2020-02-01,4,0,12
Central Java,2020-03-01,12,0,4
Central Java,2020-04-01,4,0,0
Central Java,2020-05-01,0,0,8
Central Java,2020-06-01,8,0,9
Central Java,2020-07-01,9,0,6
Central Java,2020-08-01,6,0,3
Central Java,2020-09-01,3,1,16
Central Java,2020-10-01,16,3,5
Central Java,2020-11-01,5,1,1
Central Java,2020-12-01,1,0,2
Central Java,2021-01-01,2,0,1
Central Java,2021-02-01,1,0,5
Central Java,2021-03-01,5,1,3
Central Java,2021-04-01,3,1,15
Central Java,2021-05-01,15,2,7
Central Java,2021-06-01,7,1,5
Central Java,2021-07-01,5,0,5
Central Java,2021-08-01,5,1,10
Central Java,2021-09-01,10,2,8
Central Java,2021-10-01,8,1,18
Central Java,2021-11-01,18,1,18
Central Java,2021-12-01,18,0,11
Central Java,2022-01-01,11,0,19
Central Java,2022-02-01,19,2,19
Central Java,2022-03-01,19,0,17
Central Java,2022-04-01,17,0,8
Central Java,2022-05-01,8,0,14
Central Java,2022-06-01,14,0,15
Central Java,2022-07-01,15,0,10
Central Java,2022-08-01,10,0,48
Central Java,2022-09-01,48,0,18
Central Java,2022-10-01,18,0,16
Central Java,2022-11-01,16,0,18
Central Java,2022-12-01,18,0,9
Central Java,2023-01-01,9,0,15
Central Java,2023-02-01,15,0,16
Central Java,2023-03-01,16,0,6
Central Java,2023-04-01,6,0,20
Central Java,2023-05-01,20,0,14
Central Java,2023-06-01,14,0,9
Central Java,2023-07-01,9,0,28
Central Java,2023-08-01,28,0,17
Central Java,2023-09-01,17,0,19
Central Java,2023-10-01,19,0,26
Central Java,2023-11-01,26,0,9
Central Java,2023-12-01,9,0,14
Central Java,2024-01-01,14,0,22
Central Java,2024-02-01,22,1,22
Central Java,2024-03-01,22,0,10
Central Java,2024-04-01,10,0,25
Central Java,2024-05-01,25,1,11
Central Java,2024-06-01,11,0,12
Central Java,2024-07-01,12,0,24
Central Java,2024-08-01,24,0,20
Central Java,2024-09-01,20,0,18
Central Java,2024-10-01,18,0,28
Central Java,2024-11-01,28,0,29
Central Java,2024-12-01,29,0,35
Central Java,2025-01-01,35,0,NA
Central Kalimantan,2019-01-01,0,0,0
Central Kalimantan,2019-02-01,0,0,0
Central Kalimantan,2019-03-01,0,0,0
Central Kalimantan,2019-04-01,0,0,0
Central Kalimantan,2019-05-01,0,0,0
