admin1,week,protest_count,repression_events,repression_fatalities,protest_count_t1,repression_t
Aceh,2022-07-10,0,0,0,2,0
Aceh,2022-07-17,2,0,0,0,0
Aceh,2022-07-24,0,0,0,1,0
Aceh,2022-07-31,1,0,0,0,0
Aceh,2022-08-07,0,0,0,0,0
Aceh,2022-08-14,0,0,0,1,0
Aceh,2022-08-21,1,0,0,3,0
Aceh,2022-08-28,3,0,0,14,0
Aceh,2022-09-04,14,1,0,2,1
Aceh,2022-09-11,2,0,0,4,0
Aceh,2022-09-18,4,0,0,1,0
Aceh,2022-09-25,1,0,0,4,0
Aceh,2022-10-02,4,0,0,4,0
Aceh,2022-10-09,4,0,0,0,0
Aceh,2022-10-16,0,0,0,0,0
Aceh,2022-10-23,0,0,0,2,0
Aceh,2022-10-30,2,0,0,1,0
Aceh,2022-11-06,1,0,0,3,0
Aceh,2022-11-13,3,0,0,0,0
Aceh,2022-11-20,0,0,0,3,0
Aceh,2022-11-27,3,1,0,2,1
Aceh,2022-12-04,2,0,0,2,0
Aceh,2022-12-11,2,0,0,1,0
Aceh,2022-12-18,1,0,0,1,0
Aceh,2022-12-25,1,0,0,2,0
Aceh,2023-01-01,2,0,0,3,0
Aceh,2023-01-08,3,0,0,1,0
Aceh,2023-01-15,1,0,0,2,0
Aceh,2023-01-22,2,0,0,4,0
Aceh,2023-01-29,4,0,0,3,0
Aceh,2023-02-05,3,0,0,3,0
Aceh,2023-02-12,3,0,0,1,0
Aceh,2023-02-19,1,0,0,0,0
Aceh,2023-02-26,0,0,0,2,0
Aceh,2023-03-05,2,0,0,3,0
Aceh,2023-03-12,3,0,0,0,0
Aceh,2023-03-19,0,0,0,1,0
Aceh,2023-03-26,1,0,0,1,0
Aceh,2023-04-02,1,0,0,0,0
Aceh,2023-04-09,0,0,0,0,0
Aceh,2023-04-16,0,0,0,2,0
Aceh,2023-04-23,2,0,0,3,0
Aceh,2023-04-30,3,0,0,1,0
Aceh,2023-05-07,1,0,0,1,0
Aceh,2023-05-14,1,0,0,5,0
Aceh,2023-05-21,5,0,0,0,0
Aceh,2023-05-28,0,0,0,1,0
Aceh,2023-06-04,1,0,0,5,0
Aceh,2023-06-11,5,0,0,0,0
Aceh,2023-06-18,0,0,0,1,0
Aceh,2023-06-25,1,0,0,3,0
Aceh,2023-07-02,3,0,0,0,0
Aceh,2023-07-09,0,0,0,2,0
Aceh,2023-07-16,2,0,0,1,0
Aceh,2023-07-23,1,0,0,0,0
Aceh,2023-07-30,0,0,0,3,0
Aceh,2023-08-06,3,0,0,4,0
Aceh,2023-08-13,4,0,0,2,0
Aceh,2023-08-20,2,1,0,7,1
Aceh,2023-08-27,7,0,0,5,0
